locus,feature,count,mean,std,min,25%,50%,75%,max
HLA-A,exon_1,957.0,22198.412912852677,1583.688158400018,1897.2031,22381.151300000012,22405.176000000007,22421.175400000007,22476.210900000013
HLA-A,exon_2,3912.0,83762.2940490542,212.19090760291397,75409.79869999998,83727.88750000001,83761.15970000002,83798.16860000002,90800.60480000002
HLA-A,exon_3,3912.0,85796.82396007155,286.86430626216935,78290.67879999995,85763.45389999996,85799.45589999996,85830.46669999996,97635.97779999995
HLA-A,exon_4,1585.0,85418.91895697158,1136.6426206843598,59706.92749999996,85386.24959999995,85402.24899999995,85471.30789999996,105769.21059999989
HLA-A,exon_5,941.0,35914.65173113711,2737.4054498752666,676.4271,36200.952800000014,36215.96420000002,36215.96420000002,36255.98830000001
HLA-A,exon_6,704.0,10331.80532911932,11.017284962357186,10315.595799999997,10324.609099999998,10324.609099999998,10348.633799999998,10348.633799999998
HLA-A,exon_7,704.0,14874.334061931817,7.372642838520412,14863.463499999998,14864.451499999997,14879.462899999999,14879.462899999999,14879.462899999999
HLA-A,exon_8,694.0,1597.9839586455332,0.9494691079088349,1573.0073,1598.02,1598.02,1598.02,1598.02
HLA-A,five_prime_UTR,519.0,74109.77237552985,26944.77314968288,347.2212,41854.08874999998,92448.66659999995,92473.67929999996,92529.70279999996
HLA-A,intron_1,576.0,40603.240329340246,200.8274393078219,37166.484199999984,40649.701399999976,40664.71279999997,40673.72609999997,40729.749599999974
HLA-A,intron_2,576.0,74491.72160642355,282.98919213894584,72024.55369999997,74465.11769999997,74480.12909999995,74504.15379999994,80604.96759999996
HLA-A,intron_3,576.0,182114.81210624974,3303.1005316378723,174834.1207999998,178469.40889999975,184948.56819999978,184981.60619999978,192067.07349999968
HLA-A,intron_4,576.0,30995.53528472225,1263.73993082162,11229.112000000001,30640.454700000028,30655.466100000027,31612.073000000022,31652.097100000025
HLA-A,intron_5,576.0,135838.18766006935,570.0739340722944,135172.97639999987,135197.9890999999,135862.3989999999,136410.79099999988,136513.82469999988
HLA-A,intron_6,576.0,43850.26850989584,14.059532657870786,43817.843600000015,43842.856300000014,43842.856300000014,43857.86770000001,43883.86840000001
HLA-A,intron_7,576.0,52684.83407673612,109.48983185974049,52450.3481,52668.495,52739.5299,52753.55330000001,52816.56290000001
HLA-A,three_prime_UTR,541.0,69044.6047741219,30103.2118914781,1881.2036999999998,29962.040300000015,92176.57989999982,92226.60529999982,92281.64079999982
HLA-B,exon_1,1177.0,22298.81361954122,1496.9765865487273,925.5847999999999,22412.16210000001,22446.188100000014,22541.247700000014,22581.27180000001
HLA-B,exon_2,4765.0,83566.77030006298,194.1898941356591,77139.98179999998,83497.0416,83577.08980000002,83648.07350000001,90041.23770000001
HLA-B,exon_3,4765.0,85735.31903204613,109.8125309569651,81482.66809999995,85697.35899999995,85745.35719999995,85776.41919999996,87261.36429999994
HLA-B,exon_4,1852.0,85322.93338849887,1543.4990300235686,31822.226700000017,85378.32669999995,85378.32669999996,85393.33809999996,85683.50789999997
HLA-B,exon_5,1081.0,35676.37230730806,3521.9227040717633,3348.1222000000002,36214.97620000001,36214.97620000001,36262.974400000014,37120.51850000003
HLA-B,exon_6,773.0,10359.54748072445,79.09581447428927,8807.614,10363.594,10363.594,10363.594,10363.594
HLA-B,exon_7,763.0,13575.027633682834,166.01859892459018,9039.733100000001,13564.6153,13564.6153,13604.6394,13619.6508
HLA-B,five_prime_UTR,579.0,78109.99440932643,18461.37633375969,5211.3106,82600.41530000001,87289.39710000002,87314.40980000001,87354.4339
HLA-B,intron_1,655.0,40376.164700610665,1873.6638683412423,40063.31249999998,40102.34859999998,40432.542499999974,40471.578599999964,88033.74770000005
HLA-B,intron_2,655.0,75788.51235679386,364.57784356908576,73536.48749999999,75709.86719999996,75734.87989999997,76065.07379999998,77621.05379999998
HLA-B,intron_3,655.0,177051.3751722135,413.030019762343,176316.05069999976,176991.50109999976,177312.68169999978,177336.7063999998,177393.71789999979
HLA-B,intron_4,655.0,30832.26074778628,6886.080908858077,28765.27010000002,28765.270100000023,32135.40110000002,32151.40050000002,201425.85589999976
HLA-B,intron_5,654.0,136383.89544954099,31.370473675322202,136041.4264999997,136361.6190999997,136386.6317999997,136400.6551999997,136450.6805999997
HLA-B,intron_6,655.0,32702.634037557265,20.11595820242193,32636.699400000012,32691.73490000001,32707.73430000001,32707.73430000001,33011.92750000001
HLA-B,three_prime_UTR,557.0,145202.21389156222,96523.952508403,1286.8406999999997,109736.71209999993,112884.6929999999,113148.86209999988,347398.85630000214
HLA-C,exon_1,953.0,22370.89644417629,934.4738125429876,7699.872800000001,22420.18740000001,22420.18740000001,22445.20010000001,22485.22420000001
HLA-C,exon_2,3510.0,83845.72809903136,61.93204652271773,82926.60110000001,83819.21040000001,83843.1839,83867.20860000001,85952.56599999999
HLA-C,exon_3,3510.0,85656.62185170935,193.61672650668407,80960.37899999996,85607.30949999996,85680.37159999995,85714.34639999995,91991.35799999995
HLA-C,exon_4,1338.0,85380.2232266816,2610.86252756919,18956.0872,85475.60929999995,85491.36169999996,85546.39719999998,85726.49599999998
HLA-C,exon_5,940.0,37161.75833914896,621.740653764782,36986.474000000024,37089.507700000024,37114.52040000002,37114.52040000002,42491.93660000001
