locus,feature,count,mean,std,min,25%,50%,75%,max
HLA-A,exon_1,957.0,71.85974525412587,0.9057626490573502,69.81132075471699,71.23287671232876,71.23287671232876,72.6027397260274,83.33333333333333
HLA-A,exon_2,3912.0,66.16603365205043,0.525382393155418,64.07407407407408,65.92592592592592,66.29629629629629,66.66666666666667,67.90123456790124
HLA-A,exon_3,3912.0,65.07162838370151,0.7302802099695049,63.04347826086956,64.4927536231884,65.21739130434783,65.57971014492753,67.3913043478261
HLA-A,exon_4,1585.0,62.4154751825986,0.7332704489282462,60.05917159763314,61.594202898550726,62.31884057971015,63.04347826086956,64.2156862745098
HLA-A,exon_5,941.0,59.59266312380588,1.5375858244826337,55.55555555555556,58.97435897435897,59.82905982905983,59.82905982905983,100.0
HLA-A,exon_6,704.0,47.59383608815427,1.409687620585643,45.45454545454545,45.45454545454545,48.484848484848484,48.484848484848484,51.515151515151516
HLA-A,exon_7,704.0,53.900331439393945,1.1614517536545428,52.083333333333336,54.166666666666664,54.166666666666664,54.166666666666664,56.25
HLA-A,exon_8,694.0,39.971181556195965,0.7591896180011236,20.0,40.0,40.0,40.0,40.0
HLA-A,five_prime_UTR,519.0,61.45545397295162,2.5206738242252076,57.22222222222222,61.0,61.333333333333336,61.666666666666664,100.0
HLA-A,intron_1,576.0,75.90749816126014,0.5812736931215119,74.61538461538461,75.38461538461539,76.15384615384616,76.15384615384616,78.15126050420169
HLA-A,intron_2,576.0,71.91396059902351,0.7045937954970404,69.70954356846472,71.36929460580913,72.19917012448133,72.61410788381743,73.44398340248962
HLA-A,intron_3,576.0,55.254669095539256,0.3504292879469033,54.666666666666664,54.833333333333336,55.166666666666664,55.613126079447326,56.055363321799305
HLA-A,intron_4,576.0,57.56014286057747,0.6210986988675237,55.55555555555556,57.57575757575758,57.57575757575758,57.84313725490196,64.86486486486487
HLA-A,intron_5,576.0,53.0676227317343,0.21726653114389055,52.054794520547944,52.96803652968037,53.16742081447964,53.19634703196347,54.29864253393665
HLA-A,intron_6,576.0,52.89637128325508,0.7599876086897113,51.40845070422535,52.816901408450704,52.816901408450704,52.816901408450704,54.225352112676056
HLA-A,intron_7,576.0,46.3545702427914,0.5960591501911269,44.37869822485207,46.15384615384615,46.74556213017752,46.74556213017752,47.337278106508876
HLA-A,three_prime_UTR,541.0,52.88992126910802,1.378628527691768,50.0,52.577319587628864,52.666666666666664,53.0,66.66666666666667
HLA-B,exon_1,1177.0,73.47994236108032,1.0901453642804357,71.23287671232876,72.6027397260274,73.97260273972603,73.97260273972603,100.0
HLA-B,exon_2,4765.0,64.96152522520241,0.7974001122947226,63.333333333333336,64.44444444444444,64.81481481481481,65.55555555555556,67.77777777777777
HLA-B,exon_3,4765.0,67.83862744963075,0.6794027744531371,65.93406593406593,67.3913043478261,67.7536231884058,68.47826086956522,69.56521739130434
HLA-B,exon_4,1852.0,60.15258471910469,0.3150531806091561,59.05797101449275,59.78260869565217,60.14492753623188,60.507246376811594,63.46153846153846
HLA-B,exon_5,1081.0,58.36822882835938,1.3722240724905694,56.41025641025641,57.26495726495727,58.11965811965812,59.82905982905983,66.66666666666667
HLA-B,exon_6,773.0,57.570717337858355,0.11115214293463335,54.54545454545455,57.57575757575758,57.57575757575758,57.57575757575758,57.57575757575758
HLA-B,exon_7,763.0,59.098153929970486,0.2517952163997285,56.81818181818182,59.09090909090909,59.09090909090909,59.09090909090909,65.51724137931035
HLA-B,five_prime_UTR,579.0,60.816061698458455,1.0556147166674656,56.52173913043478,60.2112676056338,60.91549295774648,61.61971830985915,65.71428571428571
HLA-B,intron_1,655.0,76.5515752661421,0.6654599575818995,71.12676056338029,75.96899224806202,76.5625,77.04396802325581,77.51937984496124
HLA-B,intron_2,655.0,74.7059802362761,0.5237041802150105,70.61224489795919,74.28571428571429,74.6938775510204,75.20325203252033,75.7201646090535
HLA-B,intron_3,655.0,54.93652731384642,0.27491174597492046,54.19580419580419,54.78260869565217,54.95652173913044,55.130434782608695,55.65217391304348
HLA-B,intron_4,655.0,59.43920460234176,0.8490577142365345,56.22119815668203,59.13978494623656,59.61538461538461,60.57692307692308,61.53846153846154
HLA-B,intron_5,654.0,54.11494571881204,0.2771964266392921,53.74149659863946,53.96825396825397,53.96825396825397,54.19501133786848,54.87528344671202
HLA-B,intron_6,655.0,58.29817162717508,0.39403637379807854,56.60377358490566,58.490566037735846,58.490566037735846,58.490566037735846,59.43396226415094
HLA-B,three_prime_UTR,557.0,52.03745087318827,2.9019507760249574,25.0,51.18483412322275,52.54237288135593,52.892561983471076,67.79661016949153
HLA-C,exon_1,953.0,71.00479578801821,1.0818979739148655,68.4931506849315,69.86301369863014,71.23287671232876,71.23287671232876,74.07407407407408
HLA-C,exon_2,3510.0,66.9252690037396,0.7982734807201364,64.44444444444444,65.92592592592592,67.03703703703704,67.77777777777777,68.51851851851852
HLA-C,exon_3,3510.0,67.77839207333302,0.7989153341951034,65.94202898550725,67.02898550724638,68.1159420289855,68.47826086956522,69.56521739130434
HLA-C,exon_4,1338.0,61.681548226540265,0.5993046977138418,59.67741935483871,61.231884057971016,61.594202898550726,61.95652173913044,63.54679802955665
HLA-C,exon_5,940.0,59.578318058931934,0.9226009942897008,57.5,59.166666666666664,60.0,60.0,60.833333333333336
HLA-C,exon_6,913.0,60.552955624149504,0.4223919840079383,54.54545454545455,60.60606060606061,60.60606060606061,60.60606060606061,60.60606060606061
HLA-C,exon_7,825.0,53.652442285297305,0.9331550235442178,52.083333333333336,52.083333333333336,54.166666666666664,54.166666666666664,58.13953488372093
HLA-C,exon_8,762.0,59.98816324430035,0.3267459174127652,50.98039215686274,60.0,60.0,60.0,60.0
HLA-C,five_prime_UTR,662.0,61.06284189936825,1.5953774565451595,57.77777777777778,60.7773851590106,61.22230533130433,61.48409893992933,83.33333333333333
HLA-C,intron_1,705.0,77.3453355155483,0.7451213603310224,75.38461538461539,76.92307692307692,77.6923076923077,77.6923076923077,78.46153846153847
HLA-C,intron_2,705.0,71.79771190399704,0.3341133479097773,70.73170731707317,71.6,71.83673469387755,71.95121951219512,73.46938775510205
HLA-C,intron_3,705.0,54.24603654215618,0.17556631388595537,53.66269165247019,54.173764906303234,54.34412265758092,54.34412265758092,54.85519591141397
HLA-C,intron_4,705.0,61.67327178166469,1.2168612681819275,58.87096774193548,60.483870967741936,61.98347107438016,62.8099173553719,62.8099173553719
HLA-C,intron_5,705.0,54.5575304414506,0.22355784363513778,54.09090909090909,54.441913439635535,54.54545454545455,54.66970387243736,55.70776255707762
HLA-C,intron_6,705.0,54.82878665491836,0.45969730977873263,53.271028037383175,54.205607476635514,55.14018691588785,55.14018691588785,56.074766355140184
HLA-C,intron_7,705.0,49.79726266392021,1.009671572636154,48.78048780487805,49.390243902439025,49.390243902439025,50.0,52.4390243902439
HLA-C,three_prime_UTR,667.0,53.563850807182824,1.5111851909921166,48.38709677419355,53.65853658536585,53.801169590643276,53.801169590643276,64.28571428571429
HLA-DPA1,exon_1,18.0,54.32539682539683,2.8620988762312645,42.857142857142854,55.0,55.0,55.0,55.0
HLA-DPA1,exon_2,45.0,48.21023824559422,0.5209638092033257,47.15447154471545,47.96747967479675,48.3739837398374,48.3739837398374,49.1869918699187
HLA-DPA1,exon_3,19.0,58.06270996640537,1.9596173242062884,50.0,58.51063829787234,58.51063829787234,58.51063829787234,58.86524822695036
HLA-DPA1,exon_4,18.0,62.8673835125448,0.4547046364481073,61.935483870967744,62.58064516129032,62.58064516129032,63.225806451612904,63.87096774193548
HLA-DPA1,five_prime_UTR,9.0,45.333996145504,4.742360925313338,41.491395793499045,41.491395793499045,41.68260038240918,51.282051282051285,51.282051282051285
HLA-DPA1,intron_1,15.0,39.16867706455477,0.13480975164133557,38.99831176139561,39.04803805721705,39.09141895681436,39.29418210798964,39.341517857142854
HLA-DPA1,intron_2,15.0,55.44224651512521,0.14711720670105552,55.294117647058826,55.294117647058826,55.45722713864307,55.588235294117645,55.588235294117645
HLA-DPA1,intron_3,15.0,51.619937694704056,0.24130737359547644,51.401869158878505,51.401869158878505,51.401869158878505,51.86915887850467,51.86915887850467
HLA-DPA1,three_prime_UTR,7.0,37.7299007262915,1.0440014486921918,36.36363636363637,36.75438596491228,38.51304548603094,38.570768875548374,38.58231355345186
HLA-DPB1,exon_1,174.0,61.97126436781609,0.22625784359131557,60.0,62.0,62.0,62.0,62.0
HLA-DPB1,exon_2,828.0,61.4403425568315,0.606881701414987,59.84848484848485,60.984848484848484,61.36363636363637,61.74242424242424,62.878787878787875
HLA-DPB1,exon_3,220.0,56.83591231463571,0.25141755432197466,56.02836879432624,56.737588652482266,56.737588652482266,57.09219858156028,57.4468085106383
HLA-DPB1,exon_4,198.0,56.62025662025663,0.3599860031007402,55.85585585585586,56.75675675675676,56.75675675675676,56.75675675675676,57.65765765765766
HLA-DPB1,exon_5,184.0,40.038615560640736,0.3991641488471208,40.0,40.0,40.0,40.0,45.0
HLA-DPB1,five_prime_UTR,166.0,42.32174600039503,0.0830884186265807,42.076502732240435,42.349726775956285,42.349726775956285,42.349726775956285,42.349726775956285
HLA-DPB1,intron_1,166.0,47.68465935312749,0.09003607843698284,47.58544652701213,47.59700176366843,47.66004415011037,47.75033083370093,47.8606087340097
HLA-DPB1,intron_2,166.0,48.12087233156699,0.07216068671490337,47.96808775866368,48.08171400099651,48.106626806178376,48.12658227848101,48.38308457711443
HLA-DPB1,intron_3,166.0,50.424009575022495,0.10514636952405197,50.09140767824497,50.45703839122486,50.45703839122486,50.45703839122486,50.63985374771481
HLA-DPB1,intron_4,166.0,47.54458563738235,0.5922654567185575,46.808510638297875,47.11246200607903,47.11246200607903,48.328267477203646,48.632218844984806
HLA-DPB1,three_prime_UTR,166.0,41.1634196942578,0.17951852016239347,40.96133751306165,41.01765316718588,41.01765316718588,41.32917964693666,41.50156412930136
HLA-DQA1,exon_1,63.0,56.28815628815629,1.6165780769258724,46.15384615384615,56.09756097560975,56.09756097560975,57.31707317073171,57.31707317073171
HLA-DQA1,exon_2,78.0,48.684402451259835,1.3060369865006478,46.7479674796748,47.5609756097561,48.09878408518598,50.200803212851405,50.602409638554214
HLA-DQA1,exon_3,72.0,50.635342789598106,6.059558856726234,0.0,51.06382978723404,51.41843971631206,51.41843971631206,52.12765957446808
HLA-DQA1,exon_4,62.0,58.210197710718,0.9080430189922476,56.12903225806452,57.41935483870968,58.38709677419355,58.70967741935484,60.0
HLA-DQA1,five_prime_UTR,54.0,47.12967367044051,2.4480098766048264,44.632768361581924,44.632768361581924,47.45762711864407,48.78706199460917,55.932203389830505
HLA-DQA1,intron_1,54.0,40.84863417254534,0.22250772387976173,40.44396318354088,40.69128043990573,40.88112058257552,41.033293066842376,41.18114406779661
